date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:31:29	140469/140469	---M-Z	200	added ('OK')	text/html	etag:%22224b5-62cff7762fa83-gzip%22	https://templates.iqonic.design/coinex-dist/dashboard/widget/widgetcard.html	C:/Users/LUPA/Downloads/coinex/templates.iqonic.design/coinex-dist/dashboard/widget/widgetcard.html	(from https://templates.iqonic.design/coinex-dist/dashboard/index.php)
23:31:30	93033/93033	---M-Z	200	added ('OK')	text/html	etag:%2216b69-62cff7762bc01-gzip%22	https://templates.iqonic.design/coinex-dist/dashboard/maps/google.html	C:/Users/LUPA/Downloads/coinex/templates.iqonic.design/coinex-dist/dashboard/maps/google.html	(from https://templates.iqonic.design/coinex-dist/dashboard/index.php)
23:31:30	90962/90962	---M-Z	200	added ('OK')	text/html	etag:%2216352-62cff7762bc01-gzip%22	https://templates.iqonic.design/coinex-dist/dashboard/maps/vector.html	C:/Users/LUPA/Downloads/coinex/templates.iqonic.design/coinex-dist/dashboard/maps/vector.html	(from https://templates.iqonic.design/coinex-dist/dashboard/index.php)
23:31:30	119705/119705	---M-Z	200	added ('OK')	text/html	etag:%221d399-62cff7762ac61-gzip%22	https://templates.iqonic.design/coinex-dist/dashboard/form/form-element.html	C:/Users/LUPA/Downloads/coinex/templates.iqonic.design/coinex-dist/dashboard/form/form-element.html	(from https://templates.iqonic.design/coinex-dist/dashboard/index.php)
23:31:30	102856/102856	---M-Z	200	added ('OK')	text/html	etag:%22191c8-62cff7762ac61-gzip%22	https://templates.iqonic.design/coinex-dist/dashboard/form/form-wizard.html	C:/Users/LUPA/Downloads/coinex/templates.iqonic.design/coinex-dist/dashboard/form/form-wizard.html	(from https://templates.iqonic.design/coinex-dist/dashboard/index.php)
23:31:31	105574/105574	---M-Z	200	added ('OK')	text/html	etag:%2219c66-62cff7762ac61-gzip%22	https://templates.iqonic.design/coinex-dist/dashboard/form/form-validation.html	C:/Users/LUPA/Downloads/coinex/templates.iqonic.design/coinex-dist/dashboard/form/form-validation.html	(from https://templates.iqonic.design/coinex-dist/dashboard/index.php)
23:31:31	102366/102366	---M-Z	200	added ('OK')	text/html	etag:%2218fde-62cff7762cba2-gzip%22	https://templates.iqonic.design/coinex-dist/dashboard/table/bootstrap-table.html	C:/Users/LUPA/Downloads/coinex/templates.iqonic.design/coinex-dist/dashboard/table/bootstrap-table.html	(from https://templates.iqonic.design/coinex-dist/dashboard/index.php)
23:31:31	111520/111520	---M-Z	200	added ('OK')	text/html	etag:%221b3a0-62cff7762cba2-gzip%22	https://templates.iqonic.design/coinex-dist/dashboard/table/table-data.html	C:/Users/LUPA/Downloads/coinex/templates.iqonic.design/coinex-dist/dashboard/table/table-data.html	(from https://templates.iqonic.design/coinex-dist/dashboard/index.php)
23:31:32	254602/254602	---M-Z	200	added ('OK')	text/html	etag:%223e28a-62cff7762bc01-gzip%22	https://templates.iqonic.design/coinex-dist/dashboard/icons/solid.html	C:/Users/LUPA/Downloads/coinex/templates.iqonic.design/coinex-dist/dashboard/icons/solid.html	(from https://templates.iqonic.design/coinex-dist/dashboard/index.php)
23:31:32	258233/258233	---M-Z	200	added ('OK')	text/html	etag:%223f0b9-62cff7762bc01-gzip%22	https://templates.iqonic.design/coinex-dist/dashboard/icons/outline.html	C:/Users/LUPA/Downloads/coinex/templates.iqonic.design/coinex-dist/dashboard/icons/outline.html	(from https://templates.iqonic.design/coinex-dist/dashboard/index.php)
